0,1061
1,947
2,872
3,1153
4,746
5,1186
6,964
7,1060
8,1193
9,585
10,1284
11,728
12,1420
13,766
14,795
15,1660
16,837
17,851
18,909
19,937
20,933
21,862
22,960
23,1975
24,977
25,931
26,1007
27,1037
28,1051
29,1072
30,1108
31,0
32,1102
33,1131
34,1153
35,1181
36,1206
37,1188
38,1224
39,0
40,1183
41,1321
42,1342
43,1287
44,0
45,1261
46,1397
47,1319
48,0
49,1362
50,1329
51,1387
52,0
53,1404
54,1411
55,1373
56,0
57,1440
58,1441
59,0
60,1440
61,1484
62,1490
63,0
64,1448
65,1528
66,0
67,1510
68,1591
69,0
70,1564
71,1619
72,0
73,1647
74,0
75,1745
76,1749
77,0
78,1821
79,0
80,1899
81,0
82,2033
83,0
84,2137
85,0
86,2240
87,0
88,0
89,2274
90,0
91,2522
92,0
93,2486
94,0
95,0
96,2622
97,0
98,2601
99,0
100,0
101,2703
102,0
103,0
104,2703
105,0
106,2708
107,0
108,0
109,2690
110,0
111,0
112,2671
113,0
114,2653
115,0
116,0
117,2560
118,0
119,2491
120,0
121,0
122,2521
123,0
124,2391
125,0
126,2327
127,0
128,2258
129,0
130,2200
131,0
132,0
133,2269
134,0
135,2137
136,0
137,2133
138,0
139,2119
140,0
141,2015
142,0
143,2025
144,0
145,2006
146,0
147,2023
148,0
149,1892
150,1930
151,0
152,1920
153,0
154,1800
155,0
156,1882
157,0
158,1873
159,1792
160,0
161,1827
162,0
163,1831
164,0
165,1774
166,0
167,1833
168,1760
169,0
170,1721
171,0
172,1726
173,1788
174,0
175,1716
176,0
177,1807
178,0
179,1798
180,1709
181,0
182,1728
183,0
184,1786
185,1811
186,0
187,1766
188,0
189,1819
190,0
191,1805
192,1797
193,0
194,1890
195,0
196,1855
197,0
198,1844
199,0
200,1937
201,0
202,2008
203,0
204,1982
205,0
206,2060
207,0
208,2073
209,0
210,2119
211,0
212,2071
213,0
214,2151
215,0
216,2241
217,0
218,2204
219,0
220,2194
221,0
222,2288
223,0
224,0
225,2284
226,0
227,2161
228,0
229,2254
230,0
231,2112
232,0
233,2111
234,0
235,1989
236,0
237,1872
238,0
239,1752
240,1622
241,0
242,1565
243,1397
244,1254
245,1133
246,1150
247,966
248,875
249,843
250,1518
251,674
252,1110
253,1151
254,1180
255,1
